Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved FSM 6,2.88890134529148,0.7965156950672646,39.0,1.0,54,0.7430582959641255,0.05345739910313899,0.1151076233183857,0.08837668161434976,0.9408999757766912,0.37471921003352743,0.7637726511897847,0.21760206958216327
1,EvolvedLookerUp2_2_2,2.8829372197309415,0.7548385650224215,49.0,1.0,57,0.6845515695067265,0.07028699551569505,0.14645739910313896,0.09870403587443946,0.8703942453253748,0.4714850122798541,0.5688273098489078,0.8724063228873915
2,Evolved HMM 5,2.8567937219730943,0.7613318385650224,42.0,1.0,55,0.7152600896860987,0.046071748878923756,0.11931838565022417,0.11934977578475335,0.998923704180377,0.5153145952139823,0.02947821365504822,0.21286787765837661
3,Evolved ANN,2.853542600896861,0.7472600896860987,45.0,1.0,48,0.7292017937219729,0.01805829596412555,0.10306726457399108,0.1496726457399104,0.9866498096339297,0.8303737948210183,0.5263918254776141,0.3035416171794246
4,Evolved ANN 5,2.853430493273543,0.7287982062780269,44.0,1.0,49,0.7110269058295964,0.017771300448430474,0.11228251121076238,0.1589192825112107,1.0,0.7374409243705407,0,0.39351219422787287
5,Evolved FSM 16,2.8499999999999996,0.7215650224215246,63.0,1.0,51,0.6359865470852017,0.08557847533632292,0.167865470852018,0.11056950672645742,0.8271113057433434,0.6030082052742266,0.5405387977509827,0.3446923715299302
6,PSO Gambler Mem1,2.8438340807174884,0.738780269058296,46.0,1.0,125,0.6993901345291479,0.039390134529147976,0.1188609865470853,0.14235874439461885,1.0,0.5159239243211148,0,0.13828336417923817
7,PSO Gambler 2_2_2,2.8410313901345288,0.7020044843049328,45.0,1.0,123,0.6316278026905832,0.07037668161434978,0.16189686098654704,0.13609865470852017,0.8838178373118339,0.42400322440448845,0.5240261114225753,0.41070188585445944
8,Evolved FSM 4,2.8394170403587444,0.7871928251121076,38.0,1.0,53,0.6958385650224214,0.0913542600896861,0.13432286995515702,0.07848430493273546,0.9423318218994762,0.4506642377426557,0,0.79220181869489
9,Evolved FSM 16 Noise 05,2.8332511210762332,0.7345156950672646,46.0,1.0,52,0.7124798206278025,0.022035874439461884,0.10937668161434992,0.1561076233183857,0.9830774209018289,0.583588988410667,0.42431819106206303,0.08978894590787091
10,PSO Gambler 1_1_1,2.831681614349776,0.7133228699551569,50.0,1.0,122,0.6808520179372197,0.03247085201793721,0.12565470852017935,0.16102242152466367,1.0,0.3248195626540692,0,0.13312985778625486
