Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"First by Stein and Rapoport: 0.05: (D, D)",2.5835714285714286,0.6029285714285715,10.0,1.0,5,0.5591428571428572,0.04378571428571428,0.128,0.2690714285714286,0.9809954061473817,0.2389372822299652,0.5916052453892748,0
1,First by Grofman,2.5275,0.8483571428571428,1.0,1.0,3,0.7040000000000001,0.14435714285714288,0.068,0.08364285714285716,1.0,0.263313075867346,0.27106342530269634,1.0
2,First by Shubik,2.5082142857142857,0.6134285714285714,3.0,1.0,4,0.568857142857143,0.04457142857142856,0.1032857142857143,0.28328571428571425,1.0,0,0.14289637967458163,0.11148864342367347
3,Tit For Tat,2.4925,0.7173571428571428,0.0,1.0,0,0.6408571428571429,0.07650000000000003,0.0742857142857143,0.20835714285714288,1.0,0,1.0,0
4,First by Nydegger,2.4610714285714286,0.996,0.0,1.0,2,0.8167142857142856,0.1792857142857143,0.0017857142857142859,0.002214285714285714,0.9998518079430943,0.9973475381052626,0.2159090909090909,0.3942307692307692
5,"First by Tideman and Chieruzzi: (D, D)",2.4589285714285714,0.5972857142857143,11.0,1.0,1,0.5800000000000001,0.017285714285714286,0.08042857142857143,0.32228571428571423,0.9967911647300961,0.08373590982286634,0.37920239496100133,0
6,Grudger,2.4010714285714285,0.5379285714285714,5.0,1.0,6,0.5347142857142857,0.0032142857142857142,0.0842857142857143,0.3777857142857143,1.0,0,0,0
7,First by Davis: 10,2.399642857142857,0.5475714285714286,4.0,1.0,7,0.5387857142857143,0.008785714285714287,0.08221428571428571,0.3702142857142858,0.9798025334490973,0.8559593428014481,0,0
8,First by Graaskamp: 0.05,2.262857142857143,0.5655714285714286,4.0,1.0,8,0.41392857142857137,0.15164285714285708,0.1546428571428571,0.27978571428571425,0.937803005149685,0.7103670898574086,0.8618953949327742,0.2756882545801319
9,First by Downing,2.2375,0.36257142857142854,7.0,0.0,9,0.27735714285714286,0.08521428571428571,0.18428571428571425,0.4531428571428571,0.9889581095596134,0.7383908659557544,0.25437014535443364,0.3828128370521102
10,"First by Feld: 1.0, 0.5, 200",1.9021428571428571,0.29035714285714287,10.0,1.0,10,0.23185714285714284,0.058499999999999996,0.12935714285714284,0.5802857142857143,0.8872295863797486,0,0.8108457137887137,0
11,First by Tullock,1.8335714285714286,0.31135714285714283,8.0,1.0,12,0.24085714285714288,0.0705,0.09421428571428571,0.5944285714285714,0.8356304464687224,0.53024108419896,0.6123107203926967,0.1083701896347425
12,First by Joss: 0.9,1.7742857142857142,0.2895,11.0,1.0,11,0.22807142857142854,0.06142857142857144,0.09335714285714287,0.6171428571428572,0.8627026931054811,0,0.910712317912031,0
13,First by Anonymous,1.6410714285714287,0.505,3.0,0.44285714285714284,13,0.1755,0.3295,0.16507142857142856,0.32992857142857146,0.5532512289526538,0.4934174950987939,0.475500039787131,0.5042838572146441
14,Random: 0.5,1.6207142857142858,0.5027142857142857,3.0,0.5142857142857142,14,0.1712142857142857,0.33149999999999996,0.16285714285714287,0.3344285714285714,0.504057939588016,0.5136637813716519,0.47847778095501464,0.49731680849376503
